artist_key,subject,type,date,is_dead,gender
John Surman,John Surman,Nascita,1944-08-30,False,male
Joni Mitchell,Joni Mitchell,Nascita,1943-11-07,False,female
Julian Lennon,Julian Lennon,Nascita,1963-04-08,False,male
Kate Bush,Kate Bush,Nascita,1958-07-30,False,female
Laurie Anderson,Laurie Anderson,Nascita,1947-06-05,False,female
Lee Ritenour,Lee Ritenour,Nascita,1952-01-11,False,male
Lou Reed,Lou Reed,Nascita,1942-03-02,True,male
Lou Reed,Lou Reed,Morte,2013-10-27,True,male
Lucio Battisti,Lucio Battisti,Nascita,1943-03-05,True,male
Lucio Battisti,Lucio Battisti,Morte,1998-09-09,True,male
Lucio Corsi,Lucio Corsi,Nascita,1993-10-01,False,male
Lucio Dalla,Lucio Dalla,Nascita,1943-03-04,True,male
Lucio Dalla,Lucio Dalla,Morte,2012-03-01,True,male
Lyle Mays,Lyle Mays,Nascita,1953-11-27,True,male
Lyle Mays,Lyle Mays,Morte,2020-02-10,True,male
Marian McPartland,Marian McPartland,Nascita,1918-03-20,True,female
Marian McPartland,Marian McPartland,Morte,2013-08-20,True,female
Martin Newell,Martin Newell,Nascita,1953-03-03,False,male
Marvin Gaye,Marvin Gaye,Nascita,1939-04-02,True,male
Marvin Gaye,Marvin Gaye,Morte,1984-04-01,True,male
Mavis Staples,Mavis Staples,Nascita,1939-07-10,False,female
Michael Franks,Michael Franks,Nascita,1944-09-18,False,male
Michael Jackson,Michael Jackson,Nascita,1958-08-29,True,male
Michael Jackson,Michael Jackson,Morte,2009-06-25,True,male
Mick Karn,Mick Karn,Nascita,1958-07-24,True,male
Mick Karn,Mick Karn,Morte,2011-01-04,True,male
Miles Davis,Miles Davis,Nascita,1926-05-26,True,male
Miles Davis,Miles Davis,Morte,1991-09-28,True,male
Milton Nascimento,Milton Nascimento,Nascita,1942-10-26,False,male
Mina,Mina,Nascita,1940-03-25,False,female
Morrissey,Morrissey,Nascita,1959-05-22,False,male
Neil Young,Neil Young,Nascita,1945-11-12,False,male
Niccolò Fabi,Niccolò Fabi,Nascita,1968-05-16,False,male
Nick Cave,Nick Cave,Nascita,1957-09-22,False,male
Nick Drake,Nick Drake,Nascita,1948-06-19,True,male
Nick Drake,Nick Drake,Morte,1974-11-25,True,male
Nick Mason,Nick Mason,Nascita,1944-01-27,False,male
Nicola Conte,Nicola Conte,Nascita,1964-00-00,False,male
Oscar Prudente,Oscar Prudente,Nascita,1944-01-09,False,male
Paco de Lucia,Paco de Lucia,Nascita,1947-12-21,True,male
Paco de Lucia,Paco de Lucia,Morte,2014-02-25,True,male
Paddy McAloon,Paddy McAloon,Nascita,1957-06-07,False,male
Paolo Conte,Paolo Conte,Nascita,1937-01-06,False,male
Pat Metheny,Pat Metheny,Nascita,1954-08-12,False,male
Patti Smith,Patti Smith,Nascita,1946-12-30,False,female
Paul Buchanan,Paul Buchanan,Nascita,1956-04-16,False,male
Paul McCartney,Paul McCartney,Nascita,1942-06-18,False,male
Paul Simon,Paul Simon,Nascita,1941-10-13,False,male
Paul Weller,Paul Weller,Nascita,1958-05-25,False,male
Pete Christlieb,Pete Christlieb,Nascita,1945-02-16,False,male
Peter Gabriel,Peter Gabriel,Nascita,1950-02-13,False,male
Peter Hammill,Peter Hammill,Nascita,1948-11-05,False,male
Phil Collins,Phil Collins,Nascita,1951-01-30,False,male
Pier Luigi Andreoni,Pier Luigi Andreoni,Nascita,1955-11-17,False,male
Pino Daniele,Pino Daniele,Nascita,1955-03-19,True,male
Pino Daniele,Pino Daniele,Morte,2015-01-04,True,male
Prince,Prince,Nascita,1958-06-07,True,male
Prince,Prince,Morte,2016-04-21,True,male
Quincy Jones,Quincy Jones,Nascita,1933-03-14,True,male
Quincy Jones,Quincy Jones,Morte,2024-11-03,True,male
Rickie Lee Jones,Rickie Lee Jones,Nascita,1954-11-08,False,female
Ricky Ross,Ricky Ross,Nascita,1957-12-22,False,male
Rob Wasserman,Rob Wasserman,Nascita,1952-04-01,True,male
Rob Wasserman,Rob Wasserman,Morte,2016-06-29,True,male
Robbie Robertson,Robbie Robertson,Nascita,1943-07-05,True,male
Robbie Robertson,Robbie Robertson,Morte,2023-08-09,True,male
Robert Fripp,Robert Fripp,Nascita,1946-05-16,False,male
Robert Wyatt,Robert Wyatt,Nascita,1945-01-28,False,male
Roddy Frame,Roddy Frame,Nascita,1964-01-29,False,male
Rosie Vela,Rosie Vela,Nascita,1952-12-18,False,female
Roy Haynes,Roy Haynes,Nascita,1925-03-13,True,male
Roy Haynes,Roy Haynes,Morte,2024-11-12,True,male
Ryuichi Sakamoto,Ryuichi Sakamoto,Nascita,1952-01-17,True,male
Ryuichi Sakamoto,Ryuichi Sakamoto,Morte,2023-03-28,True,male
Samuele Bersani,Samuele Bersani,Nascita,1970-10-01,False,male
Sarah Vaughan,Sarah Vaughan,Nascita,1924-03-27,True,female
Sarah Vaughan,Sarah Vaughan,Morte,1990-04-03,True,female
Stephan Mathieu,Stephan Mathieu,Nascita,1967-10-11,False,male
Steve Conte,Steve Conte,Nascita,1960-09-23,False,male
Steve Miller,Steve Miller,Nascita,1943-10-05,False,male
Stevie Wonder,Stevie Wonder,Nascita,1950-05-13,False,male
Sting,Sting,Nascita,1951-10-02,False,male
Suzanne Vega,Suzanne Vega,Nascita,1959-07-11,False,female
Todd Rundgren,Todd Rundgren,Nascita,1948-06-22,False,male
Tom Waits,Tom Waits,Nascita,1949-12-07,False,male
Toots Thielemans,Toots Thielemans,Nascita,1922-04-29,True,male
Toots Thielemans,Toots Thielemans,Morte,2016-08-22,True,male
Tracey Thorn,Tracey Thorn,Nascita,1962-09-26,False,female
Van Morrison,Van Morrison,Nascita,1945-08-31,False,male
Walter Becker,Walter Becker,Nascita,1950-02-20,True,male
Walter Becker,Walter Becker,Morte,2017-09-03,True,male
Warne Marsh,Warne Marsh,Nascita,1927-10-26,True,male
Warne Marsh,Warne Marsh,Morte,1987-12-18,True,male
Wayne Krantz,Wayne Krantz,Nascita,1956-07-26,False,male
Womack,Womack,Nascita,1947-09-25,True,male
Womack,Womack,Morte,2013-02-01,True,male
Wynton Marsalis,Wynton Marsalis,Nascita,1961-10-18,False,male
Yoko Ono,Yoko Ono,Nascita,1933-02-18,False,female
Yusuf,Yusuf,Nascita,1948-07-21,False,male
